speaker,start,end,text
Unknown Interviewer,00;00;00;00,00;00;13;22,"First of all, we have here and this is a bit confusing. Apparently a bit upset about how our."
Bonnie Nellsch,00;00;13;25,00;00;17;17,How we can always revert back to the one if it gets to the same.
Unknown Interviewer,00;00;17;19,00;00;40;09,If if you remember from one of our natural I was prime. Think of your last name. I thought you know my everything. You better start because I could not Rachel more everything and farming milk.
Unknown Interviewer,00;00;40;11,00;00;41;21,Can go.
Bonnie Nellsch,00;00;41;24,00;00;43;00,Out.
Unknown Interviewer,00;00;43;02,00;00;56;00,Really to I'm John from both of us. Do you guys not so hard. okay. Thank you.
Vicki Mitchell,00;00;56;01,00;01;02;29,Did David for the. Damon can two.
Unknown Interviewer,00;01;03;00,00;01;06;20,49 for.
Bonnie Nellsch,00;01;06;22,00;01;14;12,I got a burn. Five 550.
Unknown Interviewer,00;01;14;14,00;01;15;23,Christ of earth.
Bonnie Nellsch,00;01;15;25,00;01;19;13,"I, I was like Kellogg. I don't know about."
Unknown Interviewer,00;01;19;13,00;01;27;07,"You, Kellogg, do ya? The law of the."
Unknown Interviewer,00;01;27;10,00;01;33;04,"Okay. And, Bonnie, your phone number."
Bonnie Nellsch,00;01;33;07,00;01;38;24,Sign 46721 and four.
Unknown Interviewer,00;01;38;27,00;01;48;08,"And this is my 17 Riverside here is. It was was with and your, I."
Bonnie Nellsch,00;01;48;08,00;01;56;21,"Guess six, five, seven South Division."
Unknown Interviewer,00;01;56;24,00;02;18;02,I you need any nickname for? No. Okay. Okay. Your mother's name? Maiden long. Your be a l l.
Unknown Interviewer,00;02;18;05,00;02;25;25,"And a first name is a little background, right? they prefer."
Bonnie Nellsch,00;02;25;28,00;02;31;25,"Good question, ma'am, I don't I have no, I don't, it's written down."
Vicki Mitchell,00;02;31;27,00;02;40;11,"Oh, yeah. La la la la la la la la la. Home."
Bonnie Nellsch,00;02;40;14,00;02;58;19,"I always look it up, I don't I'm dead. 29. I mean, first date of birth. 29 and how in me earlier and I don't read 6 or 7, so 15. Okay."
Unknown Interviewer,00;02;58;21,00;03;07;19,"520 Cotner. Well, let me call. Well, what? That my partner around 1930."
Bonnie Nellsch,00;03;08;11,00;03;12;03,"no, 1935."
Bonnie Nellsch,00;03;12;05,00;03;24;04,"What's the date? December 18th. Two how would that make? Or 35 and seven. Five, 40 year, $2 and 42."
Unknown Interviewer,00;03;24;06,00;03;26;20,That 45.
Bonnie Nellsch,00;03;27;21,00;03;33;24,I have heard maybe here that maybe it was 1929.
Unknown Interviewer,00;03;33;26,00;03;37;19,"Okay. Thank you very,"
Vicki Mitchell,00;03;37;21,00;03;43;23,Lot number.
Vicki Mitchell,00;03;43;25,00;03;53;25,51 that I have. Her parents for sure. For sure. Okay. For Christmas. Orchard.
Unknown Interviewer,00;03;53;28,00;04;03;28,"Orchard, revolve the fruit room. And then I think gravity is that. Keep in mind."
Vicki Mitchell,00;04;04;01,00;04;12;13,"And architecture. You got to have more,"
Unknown Interviewer,00;04;12;16,00;04;15;19,You. She was very.
Bonnie Nellsch,00;04;15;21,00;04;29;23,House. Bob 2024 25 or 29? 75 is the benefit of the doubt.
Vicki Mitchell,00;04;29;25,00;04;33;21,"Where I'm working, 45."
Bonnie Nellsch,00;04;33;24,00;04;34;16,Yeah. That's fine.
Unknown Interviewer,00;04;34;16,00;04;37;18,"I, I we never."
Vicki Mitchell,00;04;37;20,00;04;45;00,Go. I am John or Hattie.
Unknown Interviewer,00;04;45;03,00;04;53;18,What? I don't know that can I wasn't my this one. I made a quick question. I'm.
Bonnie Nellsch,00;04;53;21,00;04;54;07,Yeah.
Unknown Interviewer,00;04;54;07,00;05;02;03,"But I think the main reason is it takes you know, I will be back with me. We are. We're here. We got it all incorrect."
Bonnie Nellsch,00;05;02;03,00;05;02;19,"I mean, none of."
Unknown Interviewer,00;05;02;19,00;05;20;11,"That's right. Hello, everybody. I think probably, you know, thing I'm looking off the infamous in 1975 years. I was there. Right. Cool. I, I don't know if that was the real reason because I wasn't. And I hear that. Okay. Your father's right."
Bonnie Nellsch,00;05;20;13,00;05;24;18,You know.
Unknown Interviewer,00;05;24;21,00;05;44;10,"You say, David birth. I knew that was coming. this was 1949. Not that four. Okay. For."
Bonnie Nellsch,00;05;44;12,00;05;48;05,For my my for.
Unknown Interviewer,00;05;48;05,00;05;53;20,My for 21. Yeah. I got to go. Got my go.
Vicki Mitchell,00;05;53;21,00;05;57;00,One.
Vicki Mitchell,00;05;57;03,00;06;00;22,Okay.
Bonnie Nellsch,00;06;00;24,00;06;05;14,That thing. August 10th.
Unknown Interviewer,00;06;05;17,00;06;10;15,If you remember the place of birth.
Bonnie Nellsch,00;06;11;02,00;06;12;18,I don't know about to tell.
Unknown Interviewer,00;06;12;18,00;06;14;02,"On for him, I think so."
Bonnie Nellsch,00;06;14;08,00;06;16;15,I think so too.
Unknown Interviewer,00;06;16;17,00;06;20;02,"So, did your parents move here?"
Bonnie Nellsch,00;06;20;04,00;06;21;13,"Yeah, yeah."
Unknown Interviewer,00;06;22;11,00;06;26;26,this is the one you and his occupation. Occupation?
Bonnie Nellsch,00;06;26;28,00;06;32;01,He bled for red one.
Unknown Interviewer,00;06;32;04,00;06;35;16,Put exactly that. That.
Bonnie Nellsch,00;06;35;18,00;06;46;13,"Kind of like a. Well, only they work with LED can, you know, he repairs pipes and things like that up with the smelter."
Unknown Interviewer,00;06;46;15,00;07;07;06,"Okay. And then you brothers and sisters and, Yeah, two. And now. Good are good. Is it Bob or Robert? Robert."
Unknown Interviewer,00;07;07;08,00;07;13;02,Okay. Other. Okay. Horses.
Vicki Mitchell,00;07;13;07,00;07;19;08,You over come with her. Not.
Vicki Mitchell,00;07;19;11,00;07;20;18,You have a whole clan.
Unknown Interviewer,00;07;20;18,00;07;41;01,"All the grandchildren from time for grandma to be a real. Okay, why don't we start with your house and then where are you? Okay. You. Joe."
Unknown Interviewer,00;07;41;04,00;07;42;10,And his dad.
Vicki Mitchell,00;07;42;10,00;07;48;11,"Are, 40 or."
Unknown Interviewer,00;07;48;14,00;07;53;07,"Yeah, 45."
Unknown Interviewer,00;07;53;10,00;08;01;25,Okay. So I can.
Unknown Interviewer,00;08;01;28,00;08;16;27,"Okay. The place. The bird sounds good, That's California. Okay. Good in place here. Mary."
Unknown Interviewer,00;08;16;29,00;08;27;28,March 12th. 1969.
Unknown Interviewer,00;08;28;00,00;08;34;07,And reclassification. Yeah. Minor.
Unknown Interviewer,00;08;34;10,00;08;37;22,Really? We're concerned. We have. Yeah.
Vicki Mitchell,00;08;37;23,00;08;46;18,"Thank you to the camera. So, Mary. Wow."
Unknown Interviewer,00;08;46;20,00;08;58;05,But we are nine interviews that we did have before. We have one minus one. And mining and lumber and farming are such big things.
Bonnie Nellsch,00;08;58;05,00;09;03;03,"What about mine is the biggest. Well, mine and lumberjack."
Unknown Interviewer,00;09;04;05,00;09;36;07,"I think just whoever you contact for your. Did you get those people correct? And so we have business and professional awareness and other people would come back. It were mainly people involved in there. People come back to recognize my wife. Okay, fine. And your husband, Lawrence Sales."
Unknown Interviewer,00;09;36;09,00;09;39;12,Paper.
Bonnie Nellsch,00;09;39;15,00;09;47;13,Halloween 1948. Okay.
Unknown Interviewer,00;09;47;15,00;09;57;12,"I do, I mean, with, Yeah, we're going to meet great birthday cards and Christmas. Yeah. Place the birth."
Bonnie Nellsch,00;09;57;23,00;10;03;14,"trading post, Kansas."
Unknown Interviewer,00;10;04;15,00;10;19;02,I was in Canada for probably two years. Oh three with her whole life. They have not a thing for the date right here. Mary.
Bonnie Nellsch,00;10;19;04,00;10;33;16,"July 28th, 1969. why did you. Your quarterly."
Unknown Interviewer,00;10;33;18,00;10;41;20,Investment rest the other you read the same year? Yeah. So. Lost a little sister to him.
Bonnie Nellsch,00;10;41;23,00;10;45;00,"All three of us losing here is great, but."
Unknown Interviewer,00;10;45;03,00;10;47;27,"She was married July 11th, and I was married July."
Vicki Mitchell,00;10;48;29,00;10;54;08,"and my husband, Stanley, we had breakfast here."
Unknown Interviewer,00;10;54;10,00;11;11;05,"And then we got married in September, and they converted this time. Right now. And he and his sister got married about, you know, which is close, but not that close. No, no. And also that she didn't go with two of them and his occupation."
Bonnie Nellsch,00;11;11;08,00;11;15;11,My mom.
Bonnie Nellsch,00;11;15;13,00;11;18;10,"And their partners, as a matter of fact."
Unknown Interviewer,00;11;18;13,00;11;21;25,"Oh, what is it like a contract?"
Bonnie Nellsch,00;11;21;25,00;11;26;02,Marry the contract miners. Both of them.
Unknown Interviewer,00;11;26;05,00;11;30;27,"Okay, children. Same."
Bonnie Nellsch,00;11;30;29,00;11;32;07,Okay. You want to big first?
Unknown Interviewer,00;11;32;13,00;12;09;23,"Yeah. Was Karen and Julie are are are or to. I was married before. Okay. Once it fell on your knee and then, I didn't expect it to be so. Sam, date Christopher Martin up. If you write him 16. Yeah. January 12th."
Unknown Interviewer,00;12;09;26,00;12;30;24,"Okay. Who? You're up. Hey, Tracy, burn your job. you are all right, Don. You never born Sam or something?"
Unknown Interviewer,00;12;33;16,00;12;54;22,"October. October 29th. Her primary right to cook for. That woman got married this year. We got married six months. Girl, that's okay. You can marry."
Bonnie Nellsch,00;12;55;11,00;13;14;26,"Christy. Marry me. Christy spelt with an I am okay. And, is February 1st, 1970. And, Tammy, enjoy Tammy's with why though."
Unknown Interviewer,00;13;14;29,00;13;15;28,Two a.
Bonnie Nellsch,00;13;16;00,00;13;26;11,"Yeah to hours and one. That's hers was August 5th, 1972."
Unknown Interviewer,00;13;26;13,00;13;29;04,Okay. And.
Bonnie Nellsch,00;13;31;15,00;13;42;20,"Caroline hope about okay for here since. Yeah, that was Silverton. No, both in Silverton. So, not that makes that much difference, is there?"
Unknown Interviewer,00;13;42;20,00;13;48;13,"One is different from hospitals or just the doctors that you work with, you know. Yeah, there's the."
Bonnie Nellsch,00;13;48;13,00;13;53;05,Difference in the hospital. There's the West is shown up here and they were born. This is shown in Silverton.
Bonnie Nellsch,00;13;54;10,00;14;00;21,And doctor that we went to also a billion with the hospital worker. Yeah.
Unknown Interviewer,00;14;00;24,00;14;03;29,Okay. Education.
Bonnie Nellsch,00;14;05;02,00;14;08;04,s or our husbands are what you're.
Unknown Interviewer,00;14;08;07,00;14;52;07,"The first high school. Okay? You're not in 30. okay. Well, they're just, graduated 67, right? No, no, that's right here for the from, from North Hills. I quit my senior year and then, of course, correct. Corrected my graduate complex to no, no. It's difficult. Okay. And you're still. Professional. Not professional. I didn't plan for our time."
Unknown Interviewer,00;14;52;07,00;15;02;21,"Just kidding. Yeah, that's about all I do. Okay. I'm quitting on this house right?"
Unknown Interviewer,00;15;02;23,00;15;03;27,And you work.
Bonnie Nellsch,00;15;04;11,00;15;12;26,Yeah. You can put that down. Professional hooker.
Unknown Interviewer,00;15;12;28,00;15;22;11,"Anything else? But you making profit, you do. Second, Home. Oh, no. There's no second. Okay. You're education."
Bonnie Nellsch,00;15;22;18,00;15;31;16,Us. I just high school. Yeah. 68 graduate.
Unknown Interviewer,00;15;31;18,00;15;46;23,"Okay. And you're still, just a normal housewife. I don't see normal. abnormally good at it. Oh, are you are."
Unknown Interviewer,00;15;47;27,00;15;49;29,I'm sure you have. Yeah.
Bonnie Nellsch,00;15;50;01,00;15;53;17,"Oh, well, when you mean skills, when you mean secretarial."
Unknown Interviewer,00;15;53;17,00;15;59;23,"Or way, you're saying that you consider, Yeah. That you you're really senior."
Bonnie Nellsch,00;15;59;25,00;16;09;15,"I write, but I don't write anything that anybody else is. You know, I write poetry and prose fiction. I tried writing a book once, but that didn't work."
Unknown Interviewer,00;16;09;15,00;16;16;06,"Out too well. You know, there's going to be honors material with you. University helped you like you write."
Bonnie Nellsch,00;16;16;08,00;16;17;06,Reports that.
Unknown Interviewer,00;16;17;09,00;16;28;25,"I could be good at. There's going to be all this information at the university. Aaron, listen to all this. Hey. writing poetry is one thing."
Bonnie Nellsch,00;16;28;25,00;16;36;08,Putting together all this garbage. You're going to have a community.
Bonnie Nellsch,00;16;36;11,00;16;39;29,I went back.
Unknown Interviewer,00;16;40;01,00;16;41;07,He went to.
Bonnie Nellsch,00;16;41;07,00;16;43;08,Work. I see it looks like you've been playing with.
Unknown Interviewer,00;16;43;08,00;16;45;09,A lot.
Bonnie Nellsch,00;16;45;11,00;16;47;01,Rather than that rubber.
Unknown Interviewer,00;16;47;03,00;16;52;17,You're not even along to be fine. So go play.
Unknown Interviewer,00;16;53;08,00;17;03;01,I can play for your job now. you didn't work one.
Unknown Interviewer,00;17;03;04,00;17;12;02,"We never had any country deaf. Yeah. Not really very important for, I did."
Bonnie Nellsch,00;17;12;02,00;17;20;22,"I worked at my aunt's, fabric shop one summer."
Bonnie Nellsch,00;17;20;24,00;17;31;15,"And I also worked, at the hospital as a housekeeper. I also was in the Navy for 20 years."
Unknown Interviewer,00;17;31;18,00;17;33;07,"Well, first year."
Bonnie Nellsch,00;17;34;01,00;17;36;11,"quickly, quickly."
Bonnie Nellsch,00;17;38;19,00;17;47;28,"in and out. You know. For AC and, I worked for continuous time."
Unknown Interviewer,00;17;48;04,00;17;54;08,"I remember I joined and then I quit and, we're trying to work it out now."
Bonnie Nellsch,00;17;54;08,00;17;57;10,It was quite difficult. you know.
Unknown Interviewer,00;17;57;13,00;18;00;11,I can't was trying to learn.
Bonnie Nellsch,00;18;00;14,00;18;01;14,What made me change my mind.
Unknown Interviewer,00;18;01;14,00;18;02;02,About the Navy.
Bonnie Nellsch,00;18;04;07,00;18;06;03,"because,"
Unknown Interviewer,00;18;06;05,00;18;08;23,You have to a pretty well be hardcore.
Bonnie Nellsch,00;18;08;23,00;18;23;14,"To stand up in the service, you know? I mean, if you want to be pretty, well, hardcore, make it a career out, that's fine. But if you don't forget it, that's my opinion. Well, I mean, not everybody shares that opinion, but that was my."
Unknown Interviewer,00;18;23;16,00;18;25;23,"Okay, you ready to go?"
Bonnie Nellsch,00;18;25;25,00;18;32;13,"4:00 I worked at the drugstore for a while, but I."
Unknown Interviewer,00;18;32;15,00;18;35;21,I have to I must have you work since you've been married.
Bonnie Nellsch,00;18;35;24,00;18;39;14,"Yeah, yeah, I worked up at the hospital again."
Unknown Interviewer,00;18;39;16,00;18;48;26,How long have you worked? Since you had your. So we are first born after both children were born with mom.
Bonnie Nellsch,00;18;49;03,00;18;50;15,as part time.
Vicki Mitchell,00;18;50;22,00;18;56;09,where are you? Right there at the right side. You were right.
Bonnie Nellsch,00;18;56;11,00;19;16;18,"Extra income and then went. I found out, really, I wasn't, the babysitter was getting more money than I was, so I figured, forget that there just aren't that many jobs available in this town for women that, Really, I know, pay a babysitter. And you're also."
Unknown Interviewer,00;19;16;20,00;19;25;16,"When you work. Well, are you interested in medicine working here? She would try to get together with some other people in that job to."
Vicki Mitchell,00;19;25;16,00;19;32;04,Find someone who would be a good place to work. Oh. no.
Bonnie Nellsch,00;19;32;04,00;19;42;10,"Not really, because, I don't really want to work that much. my husband doesn't want me to work at all. He needed to hers, I don't think."
Unknown Interviewer,00;19;42;10,00;19;44;27,Absolutely. I'm not happy with that.
Bonnie Nellsch,00;19;45;00,00;19;47;10,That's one night when I got here.
Unknown Interviewer,00;19;47;13,00;20;04;01,"I do work around going out quite a bit, like keeping score. And, helping out at the bar and needed, they wanted me to cram inside before midnight or really put out what is called at home orders for drinks."
Bonnie Nellsch,00;20;05;22,00;20;06;25,cocktail waitress.
Unknown Interviewer,00;20;06;25,00;20;08;15,Yeah. I've never heard that term.
Bonnie Nellsch,00;20;08;18,00;20;11;10,I heard either. First you come.
Unknown Interviewer,00;20;11;12,00;20;22;19,"Over and you go. Really? It go, well, I really enjoyed it, but I had to really sit down."
Unknown Interviewer,00;20;22;21,00;20;30;19,"How long were you married? The first time, mom? for a long, long."
Unknown Interviewer,00;20;30;21,00;20;46;22,"Okay. I got married in April, and I got my work in my. I got my month. No, sir. Michael Terry was back to little Christine about Newmarket."
Bonnie Nellsch,00;20;46;24,00;20;52;02,"Oh, you got married March."
Unknown Interviewer,00;20;52;04,00;21;23;26,"Nussbaum, you, Oh my God. Yeah. Small. Yeah. And try to make it for me. Answer. Oh, okay. Right. I've been married long enough. Just, just long enough to get pregnant. we live together about 31 day. We we're separated. I kind of I separated from you and things. I was pregnant no more years before I get my birth through a cow."
Unknown Interviewer,00;21;24;03,00;21;46;22,"I have a really? Even though you already have the name. I don't know why you think I can wait until I had the baby. Because they figured that when you're pregnant, your emotions are so different than when you're not. And what do you feel after you have the baby? You might have changed your mind because of the baby or because your emotions are different or something better."
Bonnie Nellsch,00;21;46;24,00;21;49;07,"Do you have any kids? Oh, how do."
Unknown Interviewer,00;21;49;07,00;22;11;24,"You feel about that? Yeah, when I was married, one of them, and I am now because I knew what I wanted. Well, if you weren't for me or not, I think you were to blame for. No, there was, you know, if you do or not, and I definitely did not. And I was very disgusted, I had."
Unknown Interviewer,00;22;11;24,00;22;19;25,"Great. Wait, go back on the way."
Unknown Interviewer,00;22;19;27,00;22;29;23,Oh. You're in. Wait. We're talking. We're not talking.
Unknown Interviewer,00;22;29;25,00;22;47;26,"So your part is pretty quick. Where you were before the. I heard it started making an announcement. Very well. Did you ever consider writing your own divorce after were writing your own divorce? No, I didn't I didn't cross my mind. Okay. That's just my heard of,"
Bonnie Nellsch,00;22;47;29,00;22;55;21,"That's the thing. Nobody knows about it. I know I've seen it on TV, but just recently. And I wasn't aware of the fact that you could write up your own divorce."
Unknown Interviewer,00;22;55;26,00;22;57;03,"No, I was not."
Bonnie Nellsch,00;22;57;05,00;23;06;21,"The lawyers up here aren't going to tell you that you can write up your own little divorce for about $75, isn't it? in California? Is it less than that? Well."
Unknown Interviewer,00;23;06;23,00;23;13;00,It used to be 47 or something like that. Not very long for me. Have you all.
Bonnie Nellsch,00;23;13;00,00;23;16;14,Convinced that the only way you can do it is if you go through them?
Unknown Interviewer,00;23;16;16,00;23;23;15,"Yeah. I wanted to write you for a divorce, and I paid for myself because I definitely want,"
Bonnie Nellsch,00;23;23;18,00;23;36;10,"Some woman in California is really pushing it, and she's off for the the women of a day know I. I've never heard of it. I just saw it on TV the other day. I thought it was great. You know, the people on your door."
Unknown Interviewer,00;23;36;13,00;23;37;19,Yeah. You're not ready.
