speaker,start,end,text
Unknown Interviewer,00:00:00:00,00:00:15:08,"During Audrey Winter on October the 11th, 1975. Okay."
Unknown Interviewer,00:00:15:11,00:00:32:00,Let's see. Okay. These are the questions of systems. Okay. Makes sense. Okay. can you tell me some of the advantages or the disadvantages in the small world?
Audrey Winter,00:00:32:02,00:00:34:23,Advantages for myself?
Unknown Interviewer,00:00:34:25,00:00:37:18,"Well, for both."
Audrey Winter,00:00:37:21,00:01:07:16,"I think one disadvantage is that, we get wrapped up in our own little world to know what we're doing, and and we forget that there's a whole world outside of things that are going on and that we're a part of in and sometimes, like in, you know, school pencils or whatever, you get so involved in, sometimes you lose perspective of what the real is really."
Audrey Winter,00:01:07:18,00:01:30:12,"Raise your children. Be like, the Lord would like you to have, you know. And as far as the children go, it's it's hard because they live here and they don't get out and see a lot of the food. I mean, you know, like my little girl, her first visit to school is going hungry, and we're just, you know, just kind of away from everything."
Audrey Winter,00:01:30:14,00:01:49:24,"In other ways, it's good. I mean, you know, the drug problem and stuff. We don't have it near as much. I mean, they were a lot of the basic things we could do. I mean, they weren't from the very beginning that you have to learn to save and serve and and be prepared for the maybe in a lot of other places."
Audrey Winter,00:01:49:24,00:02:06:14,"They don't. I mean, like when we buy groceries, we go someplace, we buy school because, I mean, there's just no way if you went to the store, you're fine. You know, you're constantly through trying to scratch. You know, you didn't really care."
Unknown Interviewer,00:02:06:16,00:02:13:00,"So even though it's a small area, the prices are."
Unknown Interviewer,00:02:13:02,00:02:20:08,"Like some of the advantages I know you mentioned last night before the clean air, the corridor services."
Audrey Winter,00:02:20:10,00:02:43:01,"Well, this is true. And I mean, you can your child out like the kid because whenever. You know, you worry about something, someone coming in and kidnaping and taking your. I mean, everyone in the town, you know, who this is? Good and bad, I mean, and they watch out for the other people's kids to a certain extent. If something goes wrong, there's always somebody there."
Audrey Winter,00:02:43:01,00:02:46:28,"You can tell. I mean, it's it's a more personal type living."
Unknown,00:02:47:04,00:02:55:13,You probably have it's good.
Unknown Interviewer,00:02:55:15,00:03:10:04,"To ask you about your childhood. are there any really big differences about in your life now, from the way it was with your child? Do you want to talk about, like, financially? Oh, yeah. School."
Audrey Winter,00:03:10:04,00:03:48:22,"It's just a completely different lifestyle. Like I told you before, I was the last 1 in 1 of the family lives. Three of us were children, and my brother was caught. I was 11 years old. Well, I was always just raised up in a very protective atmosphere, being beaten. I was called I mean, I just I had most probably in anything I wanted, and I was the type of person that when I was in school, there was one thing that I was involved, you know, in, in student government or whatever course, the art and I mean, I just I enjoyed it so much."
